Compound_id,pChEMBL Value,smiles,Ligand Efficiency LLE,Ligand Efficiency LE
CHEMBL1271622,,Cc1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1,,
CHEMBL1271670,5.27,FC(F)(F)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1,2.84,0.26
CHEMBL1271671,4.82,c1cc(-c2c[nH]nc2C2CC2)nc(Nc2ccc(N3CCNCC3)cn2)n1,2.53,0.24
CHEMBL1271724,,CC(C)(C)c1n[nH]cc1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1,,
CHEMBL1271725,,Fc1ccc(-c2n[nH]cc2-c2ccnc(Nc3ccc(N4CCNCC4)cn3)n2)cc1,,
CHEMBL1271784,,Cc1[nH]nc(C(C)C)c1-c1ccnc(Nc2ccc(N3CCNCC3)cn2)n1,,
CHEMBL1271842,5.46,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCNCC3)nn2)n1,2.87,0.27
CHEMBL1271843,5.5,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2cnc(N3CCNCC3)cn2)n1,2.91,0.27
CHEMBL1271898,5.15,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(C3CCNCC3)cn2)n1,0.9,0.25
CHEMBL1271899,5.51,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN(C)CC3)cn2)n1,1.98,0.26
CHEMBL1271953,5.06,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN(CCO)CC3)cn2)n1,2.16,0.22
CHEMBL1271954,4.96,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN[C@@H](C)C3)cn2)n1,1.38,0.23
CHEMBL1272010,5.08,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCN[C@H](C)C3)cn2)n1,1.5,0.24
CHEMBL1272011,4.99,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCNC(C)(C)C3)cn2)n1,1.02,0.23
CHEMBL1272065,4.85,CC1CN(c2ccc(Nc3nccc(-c4c(C(C)C)n[nH]c4Cl)n3)nc2)CC(C)N1,0.88,0.22
CHEMBL1272066,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(CN3CCN[C@@H](C)C3)cn2)n1,,
CHEMBL1272115,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(CN3CCN[C@H](C)C3)cn2)n1,,
CHEMBL1272116,,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,,
CHEMBL1272171,,CC(C)c1n[nH]c(C(F)(F)F)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,,
CHEMBL1272326,7.46,CC(C)c1n[nH]cc1-c1ccnc(NC2CCCCC2)n1,3.73,0.48
CHEMBL1272327,6.31,CC(C)c1n[nH]cc1-c1ccnc(NC2CCNCC2)n1,4.16,0.41
CHEMBL1276127,5,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,2.34,0.34
CHEMBL1276127,4.7,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2C1=O,2.04,0.32
CHEMBL1276317,5.78,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\OCC(O)CO,4.23,0.3
CHEMBL130395,4.79,CN1CCC(c2c(O)cc(O)c3c(O)c/c(=N\c4ccccc4)oc23)C(O)C1,2.23,0.23
CHEMBL132243,5.92,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCO)nc21,3.56,0.34
CHEMBL132687,5.6,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCO)nc21,2.66,0.32
CHEMBL132888,5.6,CN1CCC(c2c(O)cc(O)c3c(=O)cc(N4CCCCC4)oc23)C(O)C1,3.63,0.28
CHEMBL133498,6.89,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(Oc4ccccc4Cl)oc23)[C@H](O)C1,3.46,0.32
CHEMBL133712,5.38,CC(=O)c1cnc2oc3ccc(O)cc3c2c1-c1ccccc1,0.82,0.32
CHEMBL134003,5.52,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCCO)nc21,2.19,0.3
CHEMBL134080,6.7,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CCCCO)nc21,3.56,0.35
CHEMBL134233,5.52,CCC(O)CCc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,1.8,0.29
CHEMBL134239,6.75,CC(C)n1cnc2c(NCc3ccccc3)nc(C#CC3(O)CCCCC3)nc21,2.67,0.32
CHEMBL14762,6.35,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,3.15,0.33
CHEMBL14762,6.46,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,3.26,0.34
CHEMBL14762,5.68,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,2.48,0.3
CHEMBL14762,4.77,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,1.57,0.25
CHEMBL14762,5.62,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,2.42,0.3
CHEMBL14762,5.54,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,2.34,0.29
CHEMBL14762,6.35,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,3.15,0.33
CHEMBL14762,5.1,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,1.9,0.27
CHEMBL14762,5.57,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,2.37,0.29
CHEMBL1532768,6.26,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@H]3N)nc21,2.33,0.32
CHEMBL1738758,,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,,
CHEMBL179219,,Cc1cnc2oc3ccc(O)cc3c2c1-c1ccccc1,,
CHEMBL1801932,4.85,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,0.45,0.24
CHEMBL1802381,8,O=C1Nc2ccc(C(=O)CCl)cc2/C1=C/c1ccc[nH]1,5.07,0.55
CHEMBL1802382,,O=C1Nc2ccc(C(=O)CCl)cc2/C1=C/c1cnc[nH]1,,
CHEMBL1802383,,Cc1nc[nH]c1/C=C1\C(=O)Nc2ccc(C(=O)CCl)cc21,,
CHEMBL1802384,5.6,CCc1nc(C)c(/C=C2\C(=O)Nc3ccc(C(=O)CCl)cc32)[nH]1,2.41,0.33
CHEMBL1802385,,CCc1nc(C)c(/C=C2\C(=O)N(C)c3ccc(C(=O)CCl)cc32)[nH]1.Cl,,
CHEMBL1802386,5.44,CCc1nc(C)c(/C=C2\C(=O)Nc3ccc(C(C)=O)cc32)[nH]1,2.46,0.34
CHEMBL1802387,7.05,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2,4.97,0.46
CHEMBL1802388,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,,
CHEMBL1802727,,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\OCCC(O)CO,,
CHEMBL1802869,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]cnc1C)C(=O)N2,,
CHEMBL1802870,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]c(CC)nc1C)C(=O)N2,,
CHEMBL1802871,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]c(CC)nc1C)C(=O)N2C,,
